#SampleID	ERR2814645	ERR2814646	ERR2814647	ERR2814648	ERR2814649	ERR2814650	ERR2814651	ERR2814652	ERR2814653	ERR2814654	ERR2814655	ERR2814656	ERR2814657	ERR2814658	ERR2814659	ERR2814660	ERR2814661	ERR2814662	ERR2814663	ERR2814664	ERR2814665	ERR2814666	ERR2814667	ERR2814668
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	0	2.0	0	4.0	0	4.0	0	0	1.0	0	0	1.0	0	0	0	2.0	0	2.0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__Holophaga_foetida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter	0	0	2.0	1.0	0	0	3.0	1.0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Paludibaculum	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter	0	3.0	1.0	0	0	0	1.0	0	0	1.0	0	6.0	0	0	0	4.0	3.0	1.0	0	1.0	0	2.0	0	1.0
sk__Bacteria;k__;p__Actinobacteria	16.0	53.0	34.0	27.0	25.0	14.0	11.0	29.0	29.0	27.0	99.0	19.0	9.0	38.0	13.0	63.0	17.0	26.0	16.0	26.0	6.0	9.0	14.0	113.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	3.0	10.0	10.0	23.0	8.0	13.0	6.0	12.0	5.0	9.0	18.0	10.0	2.0	8.0	5.0	11.0	8.0	22.0	4.0	8.0	1.0	1.0	2.0	16.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	1.0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
